NCO|documentStart|2020-12-03|10:55:12|user01|End
NCO|documentCheck|principleID|NDI|End
NCO|documentCheck|distributorID|B0006|End
NCO|documentCheck|distributorName|PT. BERKAH RAYA|End
NCO|documentCheck|branchName|TANGERANG|End
NCO|documentCheck|fromDate|2020-07-19|End
NCO|documentCheck|thruDate|2020-07-22|End
NCO|documentCheck|version|A01.30.00|End
NCO|documentCheck|productmasterversion||End
NCO|documentCheck|gromartMerchantID||End
NCO|documentCheck|companyID|NS6083010001517|End
NCO|documentCheck|branchID|1522203109974|End
NCO|documentCheck|nd6closeddate|2020-07-21|End
NCO|distributorproduct|attribute|productCode|principalProductCode|productName|productPackaging|uom1|uom2|uom3|uom4|conversion1to4|conversion2to4|conversion3to4|productStatus|buyingPrice|sellingPrice|nexchiefRatio|divisonID|vendorID|End
NCO|distributorproduct|value|MXD4236|MXD4236|Apl 2in1 Waf Cho n Van|6 X 325|krt|tin|tin|PCS|6|1|1|A|98400.0|111818.2|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD3378|MXD3378|Appilo Ball Chese|6 X 24 X 12|krt|box|pcs|PCS|144|24|1|A|44260.0|50182.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD407|MXD407|Asw Mickey Mimi|6 x 10 x 25|krt|BAG|pcs|PCS|60|10|1|A|16838.0|19091.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD315|MB-ATB-120|ATB Marie Susu|6 x  4 x 185|krt|bag|pcs|PCS|24|4|1|A|82186.36|93181.82|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD3153|MS-ATB-132|ATB Marie Susu (NEW)|6 x 20 x 11|krt|bag|pcs|PCS|120|20|1|A|37044.0|42000.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD3154|MS-ATB-120|ATB Marie Susu 24 gr|12 x 10 x 24 gr|KRT|BAG|PCS|PCS|120|10|1|A|72163.63|81818.18|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD332|MXD332|B.Bercorak Ikan Vegetable|6x5x40Gr|krt|bag|pcs|PCS|30|5|1|A|18041.0|20455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD3310|MXD3310|Big M 3in1|12 X 10 X 20|krt|bag|pcs|PCS|120|10|1|A|38487.0|43636.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD334|MXD334|BIG M Cappucino|12 X 10 x 16|krt|bag|pcs|PCS|120|10|1|A|38487.0|43636.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD333|MXD333|BIG M Choco Vanilla|12 x 10 x 16|krt|bag|pcs|PCS|120|10|1|A|38487.0|43636.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD331|MXD331|Biskuit Bercorak Ikan|16 x  6 x 30|krt|rcg|pcs|PCS|96|6|1|A|29266.0|33182.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD331PR|MXD331PR|Biskuit Bercorak Ikan|16 x  6 x 30|krt|bag|pcs|PCS|96|6|1|A|29266.0|33182.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD408|MXD408|Bitter Cookiies Keong|18x210Gr|krt|pcs|pcs|PCS|18|1|1|A|54684.0|62000.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD416|CO-BT-30|Butter Cookies|18 x 130|krt|pcs|pcs|PCS|18|1|1|A|76734.0|87000.0|1.0|1522217674091|001|End
